order_item_id,order_id,product_id,quantity,price,discount
ITEM_0000001,ORD_000001,PROD_00049,2,49.99,0.55
ITEM_0000002,ORD_000001,PROD_00192,1,346.18,0.0
ITEM_0000003,ORD_000002,PROD_00004,2,305.18,0.0
ITEM_0000004,ORD_000003,PROD_00196,1,353.95,4.78
ITEM_0000005,ORD_000003,PROD_00121,2,432.13,79.73
ITEM_0000006,ORD_000004,PROD_00107,3,435.42,0.0
ITEM_0000007,ORD_000004,PROD_00109,3,474.27,0.0
ITEM_0000008,ORD_000005,PROD_00053,3,453.87,0.0
ITEM_0000009,ORD_000005,PROD_00040,3,474.09,0.0
ITEM_0000010,ORD_000006,PROD_00015,2,306.45,37.53
ITEM_0000011,ORD_000006,PROD_00063,1,199.57,0.0
ITEM_0000012,ORD_000006,PROD_00023,3,305.32,0.0
ITEM_0000013,ORD_000007,PROD_00042,3,410.28,0.0
ITEM_0000014,ORD_000007,PROD_00128,3,440.75,32.78
ITEM_0000015,ORD_000007,PROD_00089,3,164.05,0.0
ITEM_0000016,ORD_000008,PROD_00135,2,257.09,0.0
ITEM_0000017,ORD_000008,PROD_00017,3,51.32,0.0
ITEM_0000018,ORD_000009,PROD_00146,2,450.4,69.66
ITEM_0000019,ORD_000009,PROD_00043,3,35.57,0.0
ITEM_0000020,ORD_000010,PROD_00004,2,305.18,0.0
ITEM_0000021,ORD_000010,PROD_00063,1,199.57,38.33
ITEM_0000022,ORD_000010,PROD_00012,1,429.09,0.0
ITEM_0000023,ORD_000011,PROD_00082,2,490.21,66.01
ITEM_0000024,ORD_000011,PROD_00070,1,444.04,71.43
ITEM_0000025,ORD_000011,PROD_00020,1,175.8,0.0
ITEM_0000026,ORD_000011,PROD_00147,1,242.55,0.0
ITEM_0000027,ORD_000012,PROD_00095,2,484.11,0.0
ITEM_0000028,ORD_000012,PROD_00052,2,78.01,0.0
ITEM_0000029,ORD_000013,PROD_00198,1,301.95,0.0
ITEM_0000030,ORD_000013,PROD_00199,3,354.85,0.0
ITEM_0000031,ORD_000014,PROD_00139,2,255.04,0.0
ITEM_0000032,ORD_000015,PROD_00189,3,379.34,0.0
ITEM_0000033,ORD_000016,PROD_00037,1,485.1,0.0
ITEM_0000034,ORD_000016,PROD_00183,3,172.04,0.0
ITEM_0000035,ORD_000016,PROD_00072,2,326.98,0.0
ITEM_0000036,ORD_000016,PROD_00024,3,79.3,1.52
ITEM_0000037,ORD_000017,PROD_00112,1,92.63,4.84
ITEM_0000038,ORD_000017,PROD_00170,2,212.52,0.0
ITEM_0000039,ORD_000018,PROD_00052,1,78.01,0.0
ITEM_0000040,ORD_000019,PROD_00031,3,499.99,0.0
ITEM_0000041,ORD_000020,PROD_00024,2,79.3,0.0
ITEM_0000042,ORD_000020,PROD_00041,3,391.28,0.0
ITEM_0000043,ORD_000020,PROD_00176,1,457.48,0.0
ITEM_0000044,ORD_000021,PROD_00102,2,499.8,99.03
ITEM_0000045,ORD_000021,PROD_00132,1,62.67,0.0
ITEM_0000046,ORD_000021,PROD_00013,2,294.36,0.0
ITEM_0000047,ORD_000021,PROD_00174,3,326.49,30.17
ITEM_0000048,ORD_000022,PROD_00057,2,419.98,0.0
ITEM_0000049,ORD_000022,PROD_00034,3,74.21,0.0
ITEM_0000050,ORD_000022,PROD_00051,1,28.77,0.0
ITEM_0000051,ORD_000023,PROD_00166,2,135.66,0.0
ITEM_0000052,ORD_000024,PROD_00044,2,60.27,0.0
ITEM_0000053,ORD_000024,PROD_00147,2,242.55,0.0
ITEM_0000054,ORD_000025,PROD_00048,2,36.1,6.38
ITEM_0000055,ORD_000026,PROD_00123,2,166.37,0.0
ITEM_0000056,ORD_000026,PROD_00016,2,60.72,10.74
ITEM_0000057,ORD_000026,PROD_00023,3,305.32,60.7
ITEM_0000058,ORD_000027,PROD_00089,2,164.05,0.0
ITEM_0000059,ORD_000027,PROD_00145,1,340.17,40.62
ITEM_0000060,ORD_000027,PROD_00129,1,257.67,0.0
ITEM_0000061,ORD_000028,PROD_00060,1,335.54,0.0
ITEM_0000062,ORD_000028,PROD_00041,2,391.28,0.0
ITEM_0000063,ORD_000028,PROD_00026,3,161.7,32.22
ITEM_0000064,ORD_000029,PROD_00045,3,51.1,0.0
ITEM_0000065,ORD_000029,PROD_00046,3,82.2,0.0
ITEM_0000066,ORD_000029,PROD_00061,3,477.17,66.86
ITEM_0000067,ORD_000030,PROD_00127,1,383.93,0.0
ITEM_0000068,ORD_000030,PROD_00139,1,255.04,30.69
ITEM_0000069,ORD_000030,PROD_00080,1,91.66,0.0
