order_id,customer_id,order_date,delivery_date,status,total_amount,shipping_cost,payment_method
ORD_000001,CUST_00531,2023-02-27 11:15:01,2023-03-05,delivered,446.16,0.0,credit_card
ORD_000002,CUST_00566,2023-09-10 01:58:00,2023-09-19,delivered,610.36,0.0,debit_card
ORD_000003,CUST_00401,2024-08-25 03:34:30,2024-09-02,delivered,1218.21,0.0,gift_card
ORD_000004,CUST_00506,2024-07-22 21:50:21,2024-07-28,delivered,2729.07,0.0,debit_card
ORD_000005,CUST_00341,2023-11-18 09:22:09,2023-11-21,delivered,2783.88,0.0,credit_card
ORD_000006,CUST_00409,2024-10-02 06:15:54,2024-10-10,delivered,1728.43,0.0,debit_card
ORD_000007,CUST_00848,2023-04-28 21:14:45,2023-04-30,delivered,3045.24,0.0,paypal
ORD_000008,CUST_00647,2024-11-09 19:37:13,2024-11-11,delivered,668.14,0.0,gift_card
ORD_000009,CUST_00593,2023-04-27 20:01:26,2023-05-07,delivered,1007.51,0.0,credit_card
ORD_000010,CUST_00848,2024-04-03 02:49:26,2024-04-13,delivered,1239.02,0.0,gift_card
ORD_000011,CUST_00566,2023-08-21 03:04:21,2023-08-28,delivered,1842.81,0.0,paypal
ORD_000012,CUST_00027,2024-03-21 21:46:41,2024-03-28,delivered,1124.24,0.0,debit_card
ORD_000013,CUST_00187,2023-06-05 08:09:50,2023-06-12,delivered,1366.5,0.0,debit_card
ORD_000014,CUST_00513,2024-03-12 09:23:21,,cancelled,510.08,0.0,credit_card
ORD_000015,CUST_00626,2023-03-10 08:32:06,2023-03-12,delivered,1138.02,0.0,debit_card
ORD_000016,CUST_00719,2023-12-07 09:46:51,2023-12-12,delivered,1893.08,0.0,debit_card
ORD_000017,CUST_00477,2023-07-10 11:21:23,2023-07-18,delivered,517.67,0.0,gift_card
ORD_000018,CUST_00302,2023-09-12 15:25:11,2023-09-19,delivered,91.78,13.77,debit_card
ORD_000019,CUST_00474,2024-03-20 20:31:12,2024-03-24,delivered,1499.97,0.0,debit_card
ORD_000020,CUST_00433,2024-02-29 13:05:08,2024-03-06,delivered,1789.92,0.0,paypal
ORD_000021,CUST_00534,2024-08-15 11:22:59,2024-08-18,delivered,2630.46,0.0,debit_card
ORD_000022,CUST_00725,2024-05-28 04:10:08,2024-05-30,delivered,1091.36,0.0,paypal
ORD_000023,CUST_00218,2023-07-22 12:09:24,,returned,271.32,0.0,credit_card
ORD_000024,CUST_00485,2024-03-08 09:09:48,2024-03-11,delivered,605.64,0.0,gift_card
ORD_000025,CUST_00848,2024-02-17 11:04:10,2024-02-25,delivered,77.72,5.52,debit_card
ORD_000026,CUST_00071,2024-09-26 19:45:45,2024-10-02,delivered,1370.14,0.0,credit_card
ORD_000027,CUST_00716,2023-08-15 08:27:03,2023-08-22,delivered,925.94,0.0,paypal
ORD_000028,CUST_00938,2024-06-19 14:31:08,2024-06-28,delivered,1603.2,0.0,debit_card
ORD_000029,CUST_00677,2023-01-17 23:20:50,2023-01-25,delivered,1831.41,0.0,debit_card
ORD_000030,CUST_00680,2023-04-20 02:30:18,2023-04-25,delivered,730.63,0.0,credit_card
ORD_000031,CUST_00485,2024-08-22 17:00:01,2024-08-27,delivered,164.4,0.0,debit_card
ORD_000032,CUST_00915,2024-08-21 00:05:09,,cancelled,2586.66,0.0,paypal
ORD_000033,CUST_00822,2023-02-22 19:41:04,2023-03-04,delivered,2787.03,0.0,gift_card
ORD_000034,CUST_00993,2024-11-07 07:29:47,2024-11-09,delivered,183.6,0.0,credit_card
ORD_000035,CUST_00490,2024-09-02 10:15:03,2024-09-06,delivered,328.1,0.0,credit_card
ORD_000036,CUST_00753,2024-06-27 02:59:21,2024-07-04,delivered,1189.11,0.0,credit_card
ORD_000037,CUST_00329,2024-07-06 13:30:26,2024-07-08,delivered,1421.25,0.0,debit_card
ORD_000038,CUST_00261,2024-07-28 01:02:39,2024-08-06,delivered,1742.76,0.0,credit_card
ORD_000039,CUST_00107,2023-09-01 20:39:41,2023-09-10,delivered,970.61,0.0,debit_card
ORD_000040,CUST_00259,2024-10-24 21:09:01,2024-11-03,delivered,1704.68,0.0,gift_card
ORD_000041,CUST_00661,2023-10-08 13:48:28,2023-10-14,delivered,322.39,0.0,gift_card
ORD_000042,CUST_00243,2024-12-04 00:21:07,2024-12-10,delivered,411.16,0.0,paypal
ORD_000043,CUST_00034,2024-08-23 04:13:39,2024-09-01,delivered,461.17,0.0,credit_card
ORD_000044,CUST_00302,2023-12-13 07:04:00,2023-12-20,delivered,1139.34,0.0,gift_card
ORD_000045,CUST_00298,2024-08-03 10:10:55,2024-08-12,delivered,366.27,0.0,credit_card
ORD_000046,CUST_00010,2024-11-18 01:51:49,2024-11-28,delivered,590.73,0.0,debit_card
