review_id,order_id,rating,review_text,review_date,helpful_count
REV_000001,ORD_002605,5,Love it!,2024-07-10,31
REV_000002,ORD_002161,4,Nice,2023-06-02,18
REV_000003,ORD_001398,3,Decent,2024-10-01,5
REV_000004,ORD_000475,2,Below expectations,2024-08-27,34
REV_000005,ORD_000497,5,Excellent!,2024-01-15,0
REV_000006,ORD_003863,5,Exceeded expectations!,2023-08-18,18
REV_000007,ORD_000040,4,Nice,2024-10-29,11
REV_000008,ORD_002395,5,Excellent!,2024-06-26,47
REV_000009,ORD_000018,4,Nice,2023-10-06,37
REV_000010,ORD_004367,3,Meets expectations,2023-12-29,45
REV_000011,ORD_004690,4,Happy with purchase,2023-08-05,41
REV_000012,ORD_002364,4,Good product,2024-01-08,50
REV_000013,ORD_004187,5,Exceeded expectations!,2024-02-19,38
REV_000014,ORD_003690,3,It's okay,2023-07-02,0
REV_000015,ORD_004650,4,Happy with purchase,2024-03-02,46
REV_000016,ORD_003517,3,Decent,2024-09-01,19
REV_000017,ORD_004892,1,Poor quality,2023-06-19,15
REV_000018,ORD_003439,3,Fair,2023-07-26,48
REV_000019,ORD_004251,5,Excellent!,2024-06-07,32
REV_000020,ORD_004681,2,Below expectations,2024-11-30,48
REV_000021,ORD_000896,2,Disappointed,2023-11-17,21
REV_000022,ORD_003068,5,Amazing product!,2023-10-27,17
REV_000023,ORD_004495,4,Good product,2023-06-23,31
REV_000024,ORD_002276,4,Solid quality,2024-02-02,30
REV_000025,ORD_002199,3,Average,2023-09-09,13
REV_000026,ORD_002257,4,Happy with purchase,2024-07-13,5
REV_000027,ORD_003212,5,Love it!,2024-10-28,28
REV_000028,ORD_004999,2,Not great,2024-04-17,0
REV_000029,ORD_004828,5,Exceeded expectations!,2023-07-22,28
REV_000030,ORD_002052,3,Average,2024-01-24,15
REV_000031,ORD_004804,2,Not great,2023-05-04,1
REV_000032,ORD_000346,4,Happy with purchase,2025-01-16,19
REV_000033,ORD_001782,5,Love it!,2023-07-13,38
REV_000034,ORD_002396,4,Good product,2024-11-09,3
REV_000035,ORD_002822,2,Disappointed,2023-01-26,27
REV_000036,ORD_000534,3,Meets expectations,2024-06-12,4
REV_000037,ORD_003157,2,Could be better,2023-02-09,50
REV_000038,ORD_004207,4,Nice,2024-05-16,39
REV_000039,ORD_002803,4,Recommended,2023-11-23,27
REV_000040,ORD_004404,4,Happy with purchase,2023-06-02,36
REV_000041,ORD_003671,2,Not great,2023-10-13,19
REV_000042,ORD_001006,5,Perfect!,2024-02-08,23
REV_000043,ORD_001629,3,It's okay,2023-06-23,3
REV_000044,ORD_004452,2,Below expectations,2023-03-15,4
REV_000045,ORD_001155,5,Exceeded expectations!,2024-08-19,46
REV_000046,ORD_001484,2,Meh,2023-07-09,40
REV_000047,ORD_000410,5,Perfect!,2024-12-04,22
REV_000048,ORD_004429,5,Perfect!,2024-05-08,35
REV_000049,ORD_003869,5,Love it!,2023-06-07,7
REV_000050,ORD_001499,5,Exceeded expectations!,2023-11-30,32
REV_000051,ORD_002712,5,Love it!,2023-06-17,38
REV_000052,ORD_000330,2,Below expectations,2023-11-20,17
REV_000053,ORD_003416,4,Solid quality,2024-06-03,2
REV_000054,ORD_001531,4,Nice,2024-07-12,47
REV_000055,ORD_001547,5,Perfect!,2024-09-09,47
REV_000056,ORD_002538,2,Below expectations,2023-04-02,8
REV_000057,ORD_001284,3,Meets expectations,2024-02-24,30
REV_000058,ORD_004366,5,Exceeded expectations!,2023-11-12,28
REV_000059,ORD_003168,4,Recommended,2024-09-03,21
REV_000060,ORD_004114,2,Disappointed,2024-01-10,10
REV_000061,ORD_001110,5,Exceeded expectations!,2024-01-08,16
REV_000062,ORD_004326,5,Amazing product!,2024-08-07,43
REV_000063,ORD_002384,5,Excellent!,2023-12-18,11
REV_000064,ORD_004294,4,Good product,2023-09-15,13
REV_000065,ORD_001464,4,Good product,2023-02-21,1
REV_000066,ORD_000516,5,Amazing product!,2024-06-20,20
REV_000067,ORD_000755,4,Solid quality,2024-07-05,1
REV_000068,ORD_004577,4,Solid quality,2024-07-12,42
REV_000069,ORD_000210,5,Love it!,2023-07-26,30
REV_000070,ORD_000610,3,Fair,2023-07-24,33
REV_000071,ORD_001080,5,Perfect!,2024-03-08,2
REV_000072,ORD_004291,5,Excellent!,2023-12-16,19
REV_000073,ORD_003106,5,Love it!,2023-09-23,14
REV_000074,ORD_003189,3,Fair,2024-03-08,7
REV_000075,ORD_003221,3,Fair,2024-04-26,36
REV_000076,ORD_003781,5,Love it!,2024-05-02,42
REV_000077,ORD_004989,5,Love it!,2023-04-08,41
REV_000078,ORD_004413,4,Happy with purchase,2024-10-14,12
REV_000079,ORD_002851,1,Very disappointed,2024-05-24,1
REV_000080,ORD_004617,5,Excellent!,2024-09-20,42
REV_000081,ORD_002405,4,Solid quality,2023-12-20,35
REV_000082,ORD_003562,3,It's okay,2023-09-12,23
