product_id,product_name,category,subcategory,price,cost,stock_quantity,supplier,weight_kg
PROD_00002,Scientist Smartphone,Electronics,Smartphones,181.19,112.01,419.0,Reed-Cochran,6.49
PROD_00004,Most Smartphone,Electronics,Smartphones,305.18,191.67,335.0,"Gallegos, Bauer and Davis",0.85
PROD_00006,Every Smartphone,Electronics,Smartphones,382.34,204.43,473.0,Weeks PLC,8.83
PROD_00007,Reason Smartphone,Electronics,Smartphones,325.07,226.24,165.0,"Lopez, Taylor and Willis",8.66
PROD_00009,Science Laptop,Electronics,Laptops,319.38,204.05,302.0,Soto Inc,0.66
PROD_00010,Cold Laptop,Electronics,Laptops,258.6,127.52,231.0,Alvarez-Rogers,0.47
PROD_00011,Weight Laptop,Electronics,Laptops,190.68,92.69,330.0,Lopez LLC,8.66
PROD_00012,Follow Laptop,Electronics,Laptops,429.09,250.8,259.0,Owens and Sons,3.91
PROD_00013,Soldier Laptop,Electronics,Laptops,294.36,202.01,378.0,Gonzales PLC,8.97
PROD_00018,Box Tablet,Electronics,Tablets,224.5,119.4,267.0,Simmons-Adams,6.14
PROD_00019,Participant Tablet,Electronics,Tablets,188.31,127.18,198.0,Watkins-Martin,4.15
PROD_00020,Compare Tablet,Electronics,Tablets,175.8,101.85,404.0,Tanner-Sanford,6.35
PROD_00022,Case Tablet,Electronics,Tablets,149.23,92.09,336.0,"Cook, Choi and Waller",9.65
PROD_00024,Individual Tablet,Electronics,Tablets,79.3,40.04,495.0,Murray Ltd,6.59
PROD_00025,Choose Headphone,Electronics,Headphones,334.45,146.72,362.0,Andrade LLC,9.39
PROD_00029,Guy Headphone,Electronics,Headphones,259.16,105.08,158.0,Ruiz Ltd,1.88
PROD_00030,Indeed Headphone,Electronics,Headphones,114.95,78.66,248.0,"Lewis, Kennedy and Bennett",2.0
PROD_00031,Major Headphone,Electronics,Headphones,499.99,223.24,151.0,"Sanchez, Stark and Hughes",8.46
PROD_00034,Language Camera,Electronics,Cameras,74.21,38.07,83.0,"Long, Jones and Freeman",1.89
PROD_00035,Sit Camera,Electronics,Cameras,349.49,205.3,462.0,"Johnson, Blackwell and Thompson",1.74
PROD_00038,Drug Camera,Electronics,Cameras,229.97,128.83,158.0,Porter Inc,9.66
PROD_00039,Development Camera,Electronics,Cameras,394.34,264.68,99.0,Graham-Morgan,3.74
PROD_00040,Ready Camera,Electronics,Cameras,474.09,329.65,236.0,Simmons LLC,7.72
PROD_00042,Every Shirt,Clothing,Shirts,410.28,262.73,70.0,White-Sanders,8.74
PROD_00043,Nation Shirt,Clothing,Shirts,35.57,19.36,190.0,Marshall Inc,5.59
PROD_00046,Paper Shirt,Clothing,Shirts,82.2,43.67,484.0,"Cruz, Gibson and Tucker",9.11
PROD_00047,Religious Shirt,Clothing,Shirts,410.18,272.93,476.0,Henderson-Brown,0.36
PROD_00048,Large Shirt,Clothing,Shirts,36.1,19.88,120.0,Harmon-Wilson,3.92
PROD_00049,Surface Pant,Clothing,Pants,49.99,23.36,163.0,Shaw-Norman,9.32
PROD_00050,Seem Pant,Clothing,Pants,421.2,250.61,405.0,Richard-Bonilla,1.55
PROD_00052,Song Pant,Clothing,Pants,78.01,47.72,,Berg-Miller,6.19
PROD_00053,Account Pant,Clothing,Pants,453.87,184.14,110.0,Vaughan-Zimmerman,8.37
PROD_00055,Should Pant,Clothing,Pants,390.32,183.95,62.0,Graham-Marshall,0.57
PROD_00056,Among Pant,Clothing,Pants,215.71,137.66,234.0,Parrish Group,0.72
PROD_00057,Hit Dresse,Clothing,Dresses,419.98,230.97,274.0,Small Ltd,0.26
PROD_00058,Hope Dresse,Clothing,Dresses,262.53,124.07,73.0,Simmons-Leonard,2.98
PROD_00060,Finally Dresse,Clothing,Dresses,335.54,142.83,499.0,Butler-Griffin,3.67
PROD_00064,Hair Dresse,Clothing,Dresses,396.37,199.55,375.0,Barker-Sanchez,6.61
PROD_00066,General Shoe,Clothing,Shoes,31.72,17.88,416.0,Johnson-Lynch,6.46
PROD_00067,Shake Shoe,Clothing,Shoes,416.89,252.39,356.0,"Burnett, Garcia and Hunt",4.84
PROD_00068,Share Shoe,Clothing,Shoes,99.32,43.75,366.0,Morgan Ltd,7.78
PROD_00070,Skin Shoe,Clothing,Shoes,444.04,219.66,158.0,Griffith-Newton,5.2
PROD_00071,Base Shoe,Clothing,Shoes,494.67,278.45,129.0,Sanford-Leon,0.46
PROD_00072,Own Shoe,Clothing,Shoes,326.98,158.86,441.0,Cooley-Gilbert,7.83
PROD_00073,Notice Accessorie,Clothing,Accessories,434.24,216.94,,Benson Inc,8.01
PROD_00075,Skin Accessorie,Clothing,Accessories,199.46,138.05,254.0,"Osborne, Hill and Powers",6.95
PROD_00076,Point Accessorie,Clothing,Accessories,190.0,121.45,136.0,Browning-Gregory,8.03
PROD_00078,Station Accessorie,Clothing,Accessories,98.42,48.04,52.0,Sandoval-Hill,0.89
PROD_00080,Down Accessorie,Clothing,Accessories,91.66,48.87,228.0,Fletcher and Sons,0.52
PROD_00081,Attack Furnitur,Home & Garden,Furniture,436.32,220.68,222.0,"Roberts, Joseph and Wilcox",2.82
PROD_00082,Per Furnitur,Home & Garden,Furniture,490.21,335.49,38.0,Walters-Murphy,6.74
PROD_00083,Improve Furnitur,Home & Garden,Furniture,209.04,115.79,383.0,Spears-Smith,6.83
PROD_00084,Grow Furnitur,Home & Garden,Furniture,476.87,211.17,311.0,Reed-Wallace,6.81
PROD_00087,Owner Furnitur,Home & Garden,Furniture,85.18,45.57,189.0,Welch PLC,3.78
PROD_00088,Hair Furnitur,Home & Garden,Furniture,383.91,219.66,271.0,Clark PLC,3.73
PROD_00089,Hope Kitchenwar,Home & Garden,Kitchenware,164.05,79.34,491.0,Carter-Stewart,1.22
PROD_00090,Represent Kitchenwar,Home & Garden,Kitchenware,370.48,203.66,198.0,Johnson-Weber,9.14
PROD_00091,Compare Kitchenwar,Home & Garden,Kitchenware,67.7,42.82,360.0,"Bell, Reynolds and Forbes",4.52
PROD_00092,Agency Kitchenwar,Home & Garden,Kitchenware,498.22,241.97,469.0,Hawkins-Henry,9.99
PROD_00093,Easy Kitchenwar,Home & Garden,Kitchenware,108.09,47.64,37.0,Morse-Anderson,4.58
PROD_00095,Development Kitchenwar,Home & Garden,Kitchenware,484.11,336.93,341.0,Duncan and Sons,3.54
PROD_00096,Treatment Kitchenwar,Home & Garden,Kitchenware,41.82,23.53,456.0,Wang Ltd,3.07
PROD_00097,Institution Deco,Home & Garden,Decor,87.18,53.43,358.0,"Ortiz, Potter and Barnes",6.41
PROD_00098,Place Deco,Home & Garden,Decor,398.91,220.45,62.0,Flores-Cox,9.85
PROD_00099,Born Deco,Home & Garden,Decor,398.11,187.52,252.0,"Dyer, Horne and Gill",0.36
PROD_00100,Friend Deco,Home & Garden,Decor,281.47,143.74,411.0,"Nichols, Myers and Trevino",9.83
PROD_00101,Miss Deco,Home & Garden,Decor,73.59,48.96,33.0,Mitchell-Middleton,3.16
PROD_00104,Result Deco,Home & Garden,Decor,324.75,173.74,348.0,Reyes Ltd,5.22
PROD_00105,Kid Tool,Home & Garden,Tools,72.88,47.28,282.0,Jenkins-Fields,6.43
PROD_00106,Present Tool,Home & Garden,Tools,99.16,68.41,221.0,Taylor PLC,5.08
PROD_00107,Most Tool,Home & Garden,Tools,435.42,282.77,265.0,Greene Ltd,1.61
PROD_00108,Issue Tool,Home & Garden,Tools,90.68,45.05,363.0,Nguyen and Sons,2.33
PROD_00110,Agency Tool,Home & Garden,Tools,132.8,78.42,282.0,"Guzman, Clarke and Price",2.82
PROD_00114,Wall Beddin,Home & Garden,Bedding,286.17,185.32,14.0,Clark Group,0.9
PROD_00116,Effort Beddin,Home & Garden,Bedding,385.81,202.54,327.0,Kaufman PLC,0.4
PROD_00118,Turn Beddin,Home & Garden,Bedding,246.64,158.2,350.0,Sanchez Ltd,4.12
PROD_00119,Available Beddin,Home & Garden,Bedding,232.24,140.87,80.0,Goodman Ltd,4.45
PROD_00120,Research Beddin,Home & Garden,Bedding,247.28,114.05,310.0,Camacho-Cowan,1.52
PROD_00121,Training Fictio,Books,Fiction,432.13,214.25,440.0,Jones-Butler,3.52
PROD_00122,Ever Fictio,Books,Fiction,205.37,129.01,263.0,"Medina, Baldwin and Lawson",5.66
PROD_00124,Final Fictio,Books,Fiction,79.03,32.81,484.0,Clayton-Hardy,3.9
PROD_00125,Among Fictio,Books,Fiction,311.53,147.82,443.0,Ross-Ho,9.03
